# PLACEHOLDER SEED DATA - ReBridge v1. category/grade/age -> recoverable price band (USD).
# Values are synthetic (reference price x grade x age decay), NOT real market data. Override via config/injection.
category,grade,age_bucket,price_low,price_high,price_point
general,Like New,0-6,51.00,69.00,60.00
general,Like New,7-12,43.35,58.65,51.00
general,Like New,13-24,34.68,46.92,40.80
general,Like New,25+,26.52,35.88,31.20
general,Very Good,0-6,40.80,55.20,48.00
general,Very Good,7-12,34.68,46.92,40.80
general,Very Good,13-24,27.74,37.54,32.64
general,Very Good,25+,21.22,28.70,24.96
general,Good,0-6,30.60,41.40,36.00
general,Good,7-12,26.01,35.19,30.60
general,Good,13-24,20.81,28.15,24.48
general,Good,25+,15.91,21.53,18.72
general,Acceptable,0-6,19.38,26.22,22.80
general,Acceptable,7-12,16.47,22.29,19.38
general,Acceptable,13-24,13.18,17.83,15.50
general,Acceptable,25+,10.08,13.64,11.86
general,Unsellable,0-6,3.57,4.83,4.20
general,Unsellable,7-12,3.03,4.11,3.57
general,Unsellable,13-24,2.43,3.29,2.86
general,Unsellable,25+,1.85,2.51,2.18
